method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGDM+WD,128,0.01,0.0001,0.9,73.54,0.005440378052890301,73.54
SGDM+WD,128,0.02,0.0001,0.9,73.59,0.004319547853171826,73.82
SGDM+WD,128,0.03,0.0001,0.9,73.89,0.00417186949506402,73.99
SGDM+WD,128,0.05,0.0001,0.9,74.11,0.003908560802936554,74.3
SGDM+WD,128,0.07,0.0001,0.9,73.75,0.004125078532621265,73.89
SGDM+WD,128,0.1,0.0001,0.9,73.6,0.004477585713863373,73.77
SGDM+WD,128,0.01,0.0005,0.9,74.91,0.009501563406288624,75.2
SGDM+WD,128,0.02,0.0005,0.9,75.98,0.00881392462015152,76.18
SGDM+WD,128,0.03,0.0005,0.9,76.32,0.00926603070139885,76.58
SGDM+WD,128,0.05,0.0005,0.9,77.0,0.009636759583950043,77.0
SGDM+WD,128,0.07,0.0005,0.9,77.05,0.010353151797652244,77.18
SGDM+WD,128,0.1,0.0005,0.9,77.22,0.011134478466510772,77.38
SGDM+WD,128,0.01,0.001,0.9,75.5,0.013027217213511468,75.69
SGDM+WD,128,0.02,0.001,0.9,77.43,0.014956674896478653,77.63
SGDM+WD,128,0.03,0.001,0.9,77.54,0.015660572918653488,77.68
SGDM+WD,128,0.05,0.001,0.9,77.81,0.016438498530983926,77.96
SGDM+WD,128,0.07,0.001,0.9,77.65,0.018123960343003273,77.84
SGDM+WD,128,0.1,0.001,0.9,77.52,0.02096688148021698,77.59
SGDM+WD,128,0.01,0.002,0.9,76.6,0.024470401750802995,76.87
SGDM+WD,128,0.02,0.002,0.9,78.11,0.02679546813726425,78.17
SGDM+WD,128,0.03,0.002,0.9,78.26,0.02905964287519455,78.45
SGDM+WD,128,0.05,0.002,0.9,78.26,0.03380310716867447,78.4
SGDM+WD,128,0.07,0.002,0.9,77.55,0.04127719873905182,77.9
SGDM+WD,128,0.1,0.002,0.9,75.75,0.06381046221494675,75.9
SGDM+WD,128,0.01,0.005,0.9,77.21,0.05618208097457886,77.47
SGDM+WD,128,0.02,0.005,0.9,77.78,0.06962765515565872,77.78
SGDM+WD,128,0.03,0.005,0.9,76.88,0.10007382868289948,77.14
SGDM+WD,128,0.05,0.005,0.9,75.57,0.2169592577934265,75.57
SGDM+WD,128,0.07,0.005,0.9,73.03,0.44545075801849365,73.03
SGDM+WD,128,0.1,0.005,0.9,68.38,0.8041602180671692,68.5
